Registry	Name/Namespace	Tag	Platform	Digest	Parent
canonical.azurecr.io	ubuntu-pro/ubuntu-stig	22.04	index	sha256:2783fc910cda3abff9c6d7de109399f1f1bab28fb852654abf450c13bfef425b	None
canonical.azurecr.io	ubuntu-pro/ubuntu-stig	22.04	linux/amd64	sha256:9623a06f055c68ab7ea6154523ab87ac8a48ea70ac5d3109db3686628801b747	sha256:2783fc910cda3abff9c6d7de109399f1f1bab28fb852654abf450c13bfef425b
canonical.azurecr.io	ubuntu-pro/ubuntu-stig	22.04	linux/arm64	sha256:8a7bbb982002d6dc27776840444a4f41a6b9abe5a4435bae8668282d83a1f106	sha256:2783fc910cda3abff9c6d7de109399f1f1bab28fb852654abf450c13bfef425b
canonical.azurecr.io	ubuntu-pro/ubuntu-stig	22.04_beta	index	sha256:2783fc910cda3abff9c6d7de109399f1f1bab28fb852654abf450c13bfef425b	None
canonical.azurecr.io	ubuntu-pro/ubuntu-stig	22.04_beta	linux/amd64	sha256:9623a06f055c68ab7ea6154523ab87ac8a48ea70ac5d3109db3686628801b747	sha256:2783fc910cda3abff9c6d7de109399f1f1bab28fb852654abf450c13bfef425b
canonical.azurecr.io	ubuntu-pro/ubuntu-stig	22.04_beta	linux/arm64	sha256:8a7bbb982002d6dc27776840444a4f41a6b9abe5a4435bae8668282d83a1f106	sha256:2783fc910cda3abff9c6d7de109399f1f1bab28fb852654abf450c13bfef425b
canonical.azurecr.io	ubuntu-pro/ubuntu-stig	22.04_candidate	index	sha256:2783fc910cda3abff9c6d7de109399f1f1bab28fb852654abf450c13bfef425b	None
canonical.azurecr.io	ubuntu-pro/ubuntu-stig	22.04_candidate	linux/amd64	sha256:9623a06f055c68ab7ea6154523ab87ac8a48ea70ac5d3109db3686628801b747	sha256:2783fc910cda3abff9c6d7de109399f1f1bab28fb852654abf450c13bfef425b
canonical.azurecr.io	ubuntu-pro/ubuntu-stig	22.04_candidate	linux/arm64	sha256:8a7bbb982002d6dc27776840444a4f41a6b9abe5a4435bae8668282d83a1f106	sha256:2783fc910cda3abff9c6d7de109399f1f1bab28fb852654abf450c13bfef425b
canonical.azurecr.io	ubuntu-pro/ubuntu-stig	22.04_edge	index	sha256:2783fc910cda3abff9c6d7de109399f1f1bab28fb852654abf450c13bfef425b	None
canonical.azurecr.io	ubuntu-pro/ubuntu-stig	22.04_edge	linux/amd64	sha256:9623a06f055c68ab7ea6154523ab87ac8a48ea70ac5d3109db3686628801b747	sha256:2783fc910cda3abff9c6d7de109399f1f1bab28fb852654abf450c13bfef425b
canonical.azurecr.io	ubuntu-pro/ubuntu-stig	22.04_edge	linux/arm64	sha256:8a7bbb982002d6dc27776840444a4f41a6b9abe5a4435bae8668282d83a1f106	sha256:2783fc910cda3abff9c6d7de109399f1f1bab28fb852654abf450c13bfef425b
canonical.azurecr.io	ubuntu-pro/ubuntu-stig	22.04_stable	index	sha256:2783fc910cda3abff9c6d7de109399f1f1bab28fb852654abf450c13bfef425b	None
canonical.azurecr.io	ubuntu-pro/ubuntu-stig	22.04_stable	linux/amd64	sha256:9623a06f055c68ab7ea6154523ab87ac8a48ea70ac5d3109db3686628801b747	sha256:2783fc910cda3abff9c6d7de109399f1f1bab28fb852654abf450c13bfef425b
canonical.azurecr.io	ubuntu-pro/ubuntu-stig	22.04_stable	linux/arm64	sha256:8a7bbb982002d6dc27776840444a4f41a6b9abe5a4435bae8668282d83a1f106	sha256:2783fc910cda3abff9c6d7de109399f1f1bab28fb852654abf450c13bfef425b
canonical.azurecr.io	ubuntu-pro/ubuntu-stig	24.04_edge	index	sha256:476b3e5d72202789b04fd9a0ae4ae62a0f69e87be9e898de0e1456e1a4d57941	None
canonical.azurecr.io	ubuntu-pro/ubuntu-stig	24.04_edge	linux/amd64	sha256:71236ebc5943f78502bba9de2b1908d1d48e9850a5cb9b77494836d040d565a3	sha256:476b3e5d72202789b04fd9a0ae4ae62a0f69e87be9e898de0e1456e1a4d57941
canonical.azurecr.io	ubuntu-pro/ubuntu-stig	24.04_edge	linux/arm64	sha256:05bbdd04d0997af3014053bc429c1d7358f8d07470898c995854cb428a1f5369	sha256:476b3e5d72202789b04fd9a0ae4ae62a0f69e87be9e898de0e1456e1a4d57941
canonical.azurecr.io	ubuntu-pro/ubuntu-stig	jammy	index	sha256:2783fc910cda3abff9c6d7de109399f1f1bab28fb852654abf450c13bfef425b	None
canonical.azurecr.io	ubuntu-pro/ubuntu-stig	jammy	linux/amd64	sha256:9623a06f055c68ab7ea6154523ab87ac8a48ea70ac5d3109db3686628801b747	sha256:2783fc910cda3abff9c6d7de109399f1f1bab28fb852654abf450c13bfef425b
canonical.azurecr.io	ubuntu-pro/ubuntu-stig	jammy	linux/arm64	sha256:8a7bbb982002d6dc27776840444a4f41a6b9abe5a4435bae8668282d83a1f106	sha256:2783fc910cda3abff9c6d7de109399f1f1bab28fb852654abf450c13bfef425b
canonical.azurecr.io	ubuntu-pro/ubuntu-fips-stig	24.04_beta	index	sha256:cb1fbd55632cb4d16867344037090974e7b06a0b113e109cde36b1d7d7dde500	None
canonical.azurecr.io	ubuntu-pro/ubuntu-fips-stig	24.04_beta	linux/amd64	sha256:b3c29306fd5731325f302b0b74bb64f5ccd0fa394be5eec301a5064565c93cbc	sha256:cb1fbd55632cb4d16867344037090974e7b06a0b113e109cde36b1d7d7dde500
canonical.azurecr.io	ubuntu-pro/ubuntu-fips-stig	24.04_beta	linux/arm64	sha256:0bb7bbfcc95705e069d16cbb53117c734fd7a3638e0547f893f5d3e521d67cfc	sha256:cb1fbd55632cb4d16867344037090974e7b06a0b113e109cde36b1d7d7dde500
canonical.azurecr.io	ubuntu-pro/ubuntu-fips-stig	24.04_candidate	index	sha256:cb1fbd55632cb4d16867344037090974e7b06a0b113e109cde36b1d7d7dde500	None
canonical.azurecr.io	ubuntu-pro/ubuntu-fips-stig	24.04_candidate	linux/amd64	sha256:b3c29306fd5731325f302b0b74bb64f5ccd0fa394be5eec301a5064565c93cbc	sha256:cb1fbd55632cb4d16867344037090974e7b06a0b113e109cde36b1d7d7dde500
canonical.azurecr.io	ubuntu-pro/ubuntu-fips-stig	24.04_candidate	linux/arm64	sha256:0bb7bbfcc95705e069d16cbb53117c734fd7a3638e0547f893f5d3e521d67cfc	sha256:cb1fbd55632cb4d16867344037090974e7b06a0b113e109cde36b1d7d7dde500
canonical.azurecr.io	ubuntu-pro/ubuntu-fips-stig	24.04_edge	index	sha256:cb1fbd55632cb4d16867344037090974e7b06a0b113e109cde36b1d7d7dde500	None
